iter	Passed	Remaining
0	109	109037
1	113	56644
2	115	38296
3	117	29259
4	119	23812
5	121	20173
6	123	17586
7	131	16356
8	134	14798
9	137	13564
10	139	12497
11	141	11622
12	143	10897
13	145	10260
14	148	9726
15	150	9237
16	152	8813
17	155	8499
18	158	8171
19	160	7853
20	161	7552
21	163	7288
22	165	7028
23	167	6792
24	168	6584
25	171	6437
26	173	6260
27	175	6104
28	177	5950
29	179	5798
30	181	5658
31	182	5529
32	185	5427
33	186	5310
34	188	5196
35	190	5090
36	191	4987
37	193	4898
38	195	4809
39	198	4768
40	200	4688
41	202	4611
42	203	4535
43	205	4464
44	207	4395
45	208	4327
46	210	4267
47	214	4256
48	216	4199
49	218	4150
50	220	4107
51	222	4056
52	224	4006
53	225	3957
54	228	3922
55	230	3892
56	233	3856
57	237	3859
58	239	3824
59	242	3799
60	244	3762
61	246	3724
62	247	3688
63	250	3656
64	251	3622
65	255	3621
66	257	3590
67	259	3558
68	261	3527
69	263	3503
70	266	3481
71	272	3506
72	273	3476
73	275	3448
74	310	3832
75	312	3801
76	314	3769
77	316	3738
78	320	3730
79	321	3701
80	323	3674
81	325	3645
82	326	3607
83	328	3580
84	330	3556
85	334	3552
86	336	3527
87	338	3503
88	339	3480
89	354	3580
90	355	3555
91	357	3530
92	359	3506
93	361	3482
94	363	3459
95	367	3458
96	369	3435
97	370	3412
98	372	3390
99	374	3369
100	376	3349
101	378	3332
102	382	3334
103	384	3315
104	386	3296
105	388	3276
106	390	3260
107	392	3240
108	394	3221
109	395	3203
110	397	3185
111	399	3168
112	401	3150
113	403	3137
114	405	3121
115	407	3105
116	408	3085
117	410	3070
118	412	3055
119	414	3039
120	458	3331
121	460	3315
122	467	3331
123	469	3315
124	471	3298
125	474	3288
126	475	3267
127	477	3250
128	479	3235
129	481	3221
130	483	3208
131	485	3192
132	487	3176
133	489	3164
134	491	3149
135	533	3386
136	536	3380
137	538	3364
138	542	3361
139	545	3348
140	547	3335
141	548	3316
142	550	3300
143	552	3283
144	554	3269
145	558	3267
146	560	3252
147	562	3237
148	564	3223
149	593	3363
150	595	3348
151	597	3335
152	599	3320
153	601	3304
154	606	3305
155	608	3290
156	610	3275
157	612	3265
158	614	3251
159	616	3237
160	619	3228
161	621	3217
162	623	3204
163	626	3192
164	627	3177
165	663	3334
166	665	3319
167	670	3319
168	672	3306
169	674	3292
170	676	3281
171	679	3269
172	681	3258
173	684	3248
174	687	3239
175	688	3225
176	691	3213
177	699	3230
178	730	3349
179	733	3340
180	735	3328
181	737	3315
182	739	3302
183	748	3319
184	751	3311
185	753	3297
186	756	3287
187	764	3303
188	768	3296
189	770	3285
190	776	3289
191	781	3290
192	784	3279
193	786	3266
194	791	3265
195	794	3260
196	798	3255
197	801	3245
198	803	3233
199	808	3232
200	810	3222
201	812	3209
202	817	3207
203	843	3291
204	846	3282
205	848	3269
206	851	3260
207	859	3271
208	864	3270
209	869	3269
210	871	3258
211	874	3248
212	885	3271
213	888	3263
214	890	3252
215	897	3258
216	941	3398
217	944	3389
218	947	3378
219	949	3365
220	951	3352
221	958	3360
222	964	3361
223	967	3350
224	969	3339
225	971	3327
226	976	3324
227	980	3319
228	982	3308
229	989	3311
230	998	3325
231	1001	3315
232	1003	3303
233	1006	3294
234	1011	3292
235	1013	3281
236	1015	3269
237	1017	3257
238	1019	3246
239	1025	3247
240	1030	3246
241	1034	3240
242	1038	3236
243	1042	3228
244	1043	3216
245	1045	3204
246	1047	3192
247	1052	3192
248	1056	3187
249	1058	3176
250	1060	3165
251	1062	3154
252	1064	3142
253	1068	3137
254	1073	3135
255	1075	3126
256	1077	3114
257	1079	3103
258	1083	3099
259	1086	3091
260	1087	3080
261	1090	3071
262	1092	3062
263	1095	3053
264	1098	3046
265	1100	3037
266	1102	3026
267	1104	3016
268	1108	3013
269	1115	3016
270	1117	3005
271	1119	2995
272	1121	2985
273	1122	2974
274	1124	2964
275	1128	2960
276	1131	2954
277	1133	2945
278	1135	2935
279	1137	2924
280	1141	2921
281	1144	2914
282	1147	2907
283	1150	2899
284	1152	2892
285	1157	2888
286	1160	2881
287	1162	2872
288	1163	2863
289	1165	2853
290	1171	2855
291	1175	2850
292	1177	2841
293	1178	2831
294	1180	2821
295	1182	2811
296	1185	2806
297	1189	2802
298	1192	2796
299	1195	2789
300	1197	2780
301	1198	2770
302	1201	2763
303	1203	2754
304	1205	2746
305	1207	2739
306	1210	2731
307	1213	2726
308	1216	2719
309	1218	2711
310	1219	2702
311	1221	2693
312	1222	2683
313	1224	2675
314	1229	2673
315	1231	2665
316	1234	2659
317	1235	2650
318	1237	2642
319	1239	2633
320	1240	2624
321	1244	2620
322	1247	2614
323	1249	2606
324	1250	2597
325	1252	2589
326	1254	2581
327	1255	2572
328	1259	2569
329	1263	2565
330	1266	2559
331	1267	2551
332	1269	2542
333	1271	2534
334	1275	2532
335	1277	2524
336	1280	2518
337	1282	2510
338	1283	2502
339	1285	2494
340	1288	2490
341	1291	2484
342	1293	2476
343	1294	2468
344	1295	2460
345	1297	2452
346	1298	2444
347	1300	2436
348	1303	2431
349	1305	2425
350	1307	2416
351	1308	2408
352	1309	2400
353	1311	2392
354	1312	2385
355	1314	2377
356	1315	2369
357	1319	2366
358	1321	2359
359	1323	2352
360	1325	2346
361	1327	2339
362	1329	2333
363	1333	2329
364	1335	2323
365	1337	2317
